"Nazwa";"Typ";"Latitude";"Longitude"
"Wojska Polskiego 02";"stop_position";"54.3870466";"18.5907756"
"Oliwa 02";"stop_position";"54.4099191";"18.5659212"
"Obrońców Westerplatte 01";"stop_position";"54.4083748";"18.5629806"
"Oliwa 01";"stop_position";"54.4100121";"18.5671004"
"Derdowskiego 01";"stop_position";"54.4050693";"18.563912"
"Tetmajera 01";"stop_position";"54.4027016";"18.5656803"
"Bażyńskiego 01";"stop_position";"54.3988472";"18.5686061"
"Uniwersytet Gdański 01";"stop_position";"54.3958038";"18.5716415"
"Strzyża PKM 01";"stop_position";"54.3913813";"18.5774228"
"Wilka-Krzyżanowskiego 02";"stop_position";"54.3882328";"18.5818847"
"Zamenhofa 02";"stop_position";"54.3869117";"18.5855082"
"Sarnia 01";"stop_position";"54.4162056";"18.5585266"
"Jelitkowo 05";"stop_position";"54.4231713";"18.5939769"
"Sopot Sanatorium ""Leśnik"" 01";"stop_position";"54.4493714";"18.527337"
"Wejherowska 02";"stop_position";"54.4530146";"18.5553947"
"Kamienny Potok - Kościół 01";"stop_position";"54.4569407";"18.5451407"
"Kamienny Potok SKM 03";"stop_position";"54.4569807";"18.552769"
"Źródło Marii 01";"stop_position";"54.4698996";"18.4972786"
"Stawna";"stop_position";"54.4943907";"18.5078741"
"Płyta Redłowska 04";"stop_position";"54.4918249";"18.5523493"
"Lipowa 01";"stop_position";"54.4701085";"18.4908031"
"Brzechwy";"stop_position";"54.4736785";"18.4896054"
"Kameliowa 01";"stop_position";"54.4708168";"18.4679359"
"Szafranowa 02";"stop_position";"54.4652857";"18.460265"
"Nawigatorów 02";"stop_position";"54.4823888";"18.5499938"
"Zwycięstwa - Wielkopolska 02";"stop_position";"54.4844789";"18.5464061"
"Kolibki 02";"stop_position";"54.4732226";"18.553925"
"Pomorskie Szkoły Rzemiosł 02";"stop_position";"54.3621068";"18.6111857"
"Brama Oliwska 03";"stop_position";"54.3622255";"18.641825"
"Mostek 01";"stop_position";"54.3492354";"18.6743944"
"Węzeł Elbląska 02";"stop_position";"54.3490068";"18.6921512"
"Park Naukowo - Technologiczny";"stop_position";"54.3546602";"18.595644"
"Dolne Młyny 01";"stop_position";"54.3665617";"18.5685614"
"Dom Pomocy Społecznej 02";"stop_position";"54.3099518";"18.6199795"
"Brama Wyżynna 04";"stop_position";"54.3502693";"18.6458053"
"Przywidzka 02";"stop_position";"54.3242906";"18.5477498"
"Sobieszewska Pastwa 2 02";"stop_position";"54.3125822";"18.8734252"
"Opacka 04";"stop_position";"54.4137094";"18.5661658"
"Zaroślak 02";"stop_position";"54.3417563";"18.6424312"
"Chłopska 02";"stop_position";"54.4084337";"18.5909614"
"Gdańsk Politechnika";"stop_position";"54.3741384";"18.627363"
"Gdańsk Główny";"stop_position";"54.3562744";"18.6438291"
"Gdynia Karwiny";"stop_position";"54.4698847";"18.508883"
"Wiczlino - Działki I";"stop_position";"54.4818119";"18.4372719"
"Płyta Redłowska 02";"stop_position";"54.4916556";"18.55299"
"Strzyża PKM 03";"stop_position";"54.3910936";"18.5781583"
"Latarnia Morska";"stop_position";"54.4071694";"18.6613633"
"Westerplatte";"stop_position";"54.402948";"18.6809517"
"Brama Oliwska";"stop_position";"54.3620657";"18.6415532"
"Akademia Muzyczna";"stop_position";"54.3446147";"18.6641921"
"Brama Żuławska";"stop_position";"54.3476663";"18.6693516"
"Piecewska";"stop_position";"54.3583379";"18.5870129"
"Wiczlino - Skrzyżowanie 02";"stop_position";"54.4906745";"18.4238533"
"Brama Wyżynna";"stop_position";"54.3504006";"18.6460295"
"Okopowa";"stop_position";"54.3475698";"18.6463088"
"Żabi Kruk";"stop_position";"54.3465988";"18.6515297"
"Chmielna 01";"stop_position";"54.3454629";"18.6570763"
"Plac Solidarności 02";"stop_position";"54.3603015";"18.6479495"
"Hucisko";"stop_position";"54.351887";"18.644998"
"Dworzec PKS";"stop_position";"54.3569744";"18.6434415"
"Mazurska";"stop_position";"54.4084792";"18.6320361"
"Subisława";"stop_position";"54.416718";"18.5732595"
"Jelitkowo";"stop_position";"54.4232354";"18.5926832"
"Bieszczadzka 02 (ŃŻ)";"stop_position";"54.452402";"18.4534094"
"Hucisko 03";"stop_position";"54.3517838";"18.6443363"
"Chodowieckiego";"stop_position";"54.3639912";"18.6383444"
"Chełm Cienista 02";"stop_position";"54.3376167";"18.6261785"
"Osowa PKP 02";"stop_position";"54.4207136";"18.4519659"
"Niedźwiednik 01";"stop_position";"54.3800689";"18.5594349"
"Wczasy";"stop_position";"54.4091113";"18.6280738"
"Reja";"stop_position";"54.3791802";"18.6224499"
"Mickiewicza 02";"stop_position";"54.3827163";"18.6218367"
"Kościuszki";"stop_position";"54.3883351";"18.6224352"
"Dworska";"stop_position";"54.4048783";"18.6247121"
"Wyspiańskiego";"stop_position";"54.3763292";"18.6235692"
"Politechnika SKM 02";"stop_position";"54.3753925";"18.6266951"
"Jana Pawła II";"stop_position";"54.3943199";"18.6020306"
"Politechnika";"stop_position";"54.3740245";"18.6214115"
"Zaspa 04";"stop_position";"54.3992091";"18.5950553"
"Bajana 02";"stop_position";"54.3896857";"18.6084526"
"Żwirki i Wigury 01";"stop_position";"54.3921141";"18.6058041"
"Plac Komorowskiego 01";"stop_position";"54.3837496";"18.614411"
"Swojska 02";"stop_position";"54.3787445";"18.6331605"
"Śnieżna 02";"stop_position";"54.392257";"18.6576846"
"Marynarki Polskiej 01";"stop_position";"54.3985821";"18.6665651"
"Stocznia SKM";"stop_position";"54.3645819";"18.6427422"
"Hynka 01";"stop_position";"54.3969774";"18.5887651"
"Hynka 02";"stop_position";"54.3966844";"18.5880923"
"Gościnna 02";"stop_position";"54.3232099";"18.631431"
"Gościnna 01";"stop_position";"54.3233064";"18.6316514"
"Krasickiego 03";"stop_position";"54.406119";"18.6441495"
"Toruńska 02";"stop_position";"54.344654";"18.6451804"
"Olszyńska 01";"stop_position";"54.3340413";"18.6551309"
"Sobieszewo";"stop_position";"54.3463122";"18.8152429"
"Sobieszewska Pastwa 1 01";"stop_position";"54.3190671";"18.865597"
"Chwaszczyno, Świerkowa";"stop_position";"54.4251381";"18.4321215"
"Chwaszczyno, Bogusława";"stop_position";"54.4305677";"18.4398987"
"Chwaszczyno Boczna 71";"stop_position";"54.4432368";"18.4018831"
"Płowce 01";"stop_position";"54.3558749";"18.6303218"
"Szczęśliwa";"stop_position";"54.3490907";"18.5280524"
"Ergo Arena 03";"stop_position";"54.425749";"18.5810174"
"Karczemki";"stop_position";"54.3503103";"18.5095129"
"Zwycięstwa - Wielkopolska 04";"stop_position";"54.484887";"18.5444285"
"Mały Kack Sandomierska 03";"stop_position";"54.4864742";"18.5282839"
"Zeusa";"stop_position";"54.4222331";"18.4628432"
"Dąbrowa Centrum 04";"stop_position";"54.4733331";"18.465192"
"Powstańców Warszawskich";"stop_position";"54.3510974";"18.6360924"
"Wielki Kack Starodworcowa 02";"stop_position";"54.4646451";"18.4965526"
"Czarny Dwór";"stop_position";"54.407587";"18.6138216"
"Otomin Sarnia";"stop_position";"54.3246461";"18.5172294"
"Opera Bałtycka";"stop_position";"54.3720707";"18.6247091"
"Dworzec Główny 18";"stop_position";"54.355004";"18.6452635"
"Opacka";"stop_position";"54.4136648";"18.5655728"
